Question Number,Question Body,Question Choices,Question URL
111,Which of the following is a valid PromQL query?,"A. SELECT * from http_requests_total WHERE job=apiserver
B. http_requests_total WHERE (job=""apiserver"")
C. SELECT * from http_requests_total
D. http_requests_total(job=""apiserver"")",https://www.examtopics.com/discussions/linux-foundation/view/147997-exam-kcna-topic-1-question-111-discussion/
96,Which of the following options includes valid API versions?,"A. alpha1v1, beta3v3, v2
B. alpha1, beta3, v2
C. v1alpha1, v2beta3, v2
D. v1alpha1, v2beta3, 2.0",https://www.examtopics.com/discussions/linux-foundation/view/128036-exam-kcna-topic-1-question-96-discussion/
83,Which kubernetes component is the smallest deployable unit of computing?,"A. StatefulSet
B. Deployment
C. Pod
D. Container",https://www.examtopics.com/discussions/linux-foundation/view/128035-exam-kcna-topic-1-question-83-discussion/
71,Which command provides information about the field replicas within the spec resource of a deployment object?,"A. kubectl get deployment.spec.replicas
B. kubectl explain deployment.spec.replicas
C. kubectl describe deployment.spec.replicas
D. kubectl explain deployment --spec.replicas",https://www.examtopics.com/discussions/linux-foundation/view/139950-exam-kcna-topic-1-question-71-discussion/
54,What is the primary mechanism to identify grouped objects in a Kubernetes cluster?,"A. Custom Resources
B. Labels
C. Label Selector
D. Pod",https://www.examtopics.com/discussions/linux-foundation/view/135369-exam-kcna-topic-1-question-54-discussion/
37,Which Kubernetes feature would you use to guard against split brain scenarios with your distributed application?,"A. Replication controllers
B. Consensus protocols
C. Rolling updates
D. StatefulSet",https://www.examtopics.com/discussions/linux-foundation/view/129239-exam-kcna-topic-1-question-37-discussion/
86,Which of the following capabilities are you allowed to add to a container using the Restricted policy?,"A. CHOWN
B. SYS_CHROOT
C. SETUID
D. NET_BIND_SERVICE",https://www.examtopics.com/discussions/linux-foundation/view/135368-exam-kcna-topic-1-question-86-discussion/
77,How to create a headless service?,"A. By specifying .spec.ClusterIP: headless
B. By specifying .spec.clusterIP: None
C. By specifying .spec.ClusterIP: 0.0.0.0
D. By specifying .spec.ClusterIP: localhost",https://www.examtopics.com/discussions/linux-foundation/view/147802-exam-kcna-topic-1-question-77-discussion/
50,What is the goal of load balancing?,"A. Automatically measure request performance across instances of an application.
B. Automatically distribute requests across different versions of an application.
C. Automatically distribute instances of an application across the cluster.
D. Automatically distribute requests across instances of an application.",https://www.examtopics.com/discussions/linux-foundation/view/147799-exam-kcna-topic-1-question-50-discussion/
48,What is a key feature of a container network?,"A. Proxying REST requests across a set of containers.
B. Allowing containers running on separate hosts to communicate.
C. Allowing containers on the same host to communicate.
D. Caching remote disk access.",https://www.examtopics.com/discussions/linux-foundation/view/147798-exam-kcna-topic-1-question-48-discussion/
45,Which command will list the resource types that exist within a cluster?,"A. kubectl api-resources
B. kubectl get namespaces
C. kubectl api-versions
D. curl https://kubectrl/namespaces",https://www.examtopics.com/discussions/linux-foundation/view/147797-exam-kcna-topic-1-question-45-discussion/
3,A CronJob is scheduled to run by a user every one hour. What happens in the cluster when it's time for this CronJob to run?,"A. Kubelet watches API Server for CronJob objects. When it's time for a Job to run, it runs the Pod directly.
B. Kube-scheduler watches API Server for CronJob objects, and this is why it's called kube-scheduler.
C. CronJob controller component creates a Pod and waits until it finishes to run.
D. CronJob controller component creates a Job. Then the Job controller creates a Pod and waits until it finishes to run.",https://www.examtopics.com/discussions/linux-foundation/view/136898-exam-kcna-topic-1-question-3-discussion/
2,"Which API object is the recommended way to run a scalable, stateless application on your cluster?","A. ReplicaSet
B. Deployment
C. DaemonSet
D. Pod",https://www.examtopics.com/discussions/linux-foundation/view/122254-exam-kcna-topic-1-question-2-discussion/
1,What native runtime is Open Container Initiative (OCI) compliant?,"A. runC
B. runV
C. kata-containers
D. gvisor",https://www.examtopics.com/discussions/linux-foundation/view/122253-exam-kcna-topic-1-question-1-discussion/
76,How do you perform a command in a running container of a Pod?,"A. kubectl exec --
B. docker exec
C. kubectl run --
D. kubectl attach -i",https://www.examtopics.com/discussions/linux-foundation/view/136713-exam-kcna-topic-1-question-76-discussion/
74,What are the most important resources to guarantee the performance of an etcd cluster?,"A. CPU and disk capacity.
B. Network throughput and disk I/O.
C. CPU and RAM memory.
D. Network throughput and CPU.",https://www.examtopics.com/discussions/linux-foundation/view/127942-exam-kcna-topic-1-question-74-discussion/
60,"What Kubernetes component handles network communications inside and outside of a cluster, using operating system packet filtering if available?","A. kube-proxy
B. kubelet
C. etcd
D. kube-controller-manager",https://www.examtopics.com/discussions/linux-foundation/view/135372-exam-kcna-topic-1-question-60-discussion/
136,Which of the following commands lists all defined variables and functions within Bash?,"A. env
B. set
C. env -a
D. echo $ENV",https://www.examtopics.com/discussions/linux-foundation/view/142980-exam-lfcs-topic-1-question-136-discussion/
206,Which of the following keywords can be used in the file /etc/nsswitch.conf to specify a source for host name lookups? (Choose TWO correct answers.),"A. resolv
B. dns
C. remote
D. files
E. hosts",https://www.examtopics.com/discussions/linux-foundation/view/142912-exam-lfcs-topic-1-question-206-discussion/
199,Which of the following details is NOT provided in any output from the netstat utility?,"A. broadcast services
B. interface statistics
C. masquerading connections
D. network connections
E. routing tables",https://www.examtopics.com/discussions/linux-foundation/view/142909-exam-lfcs-topic-1-question-199-discussion/
178,Which of the following are syslog facilities? (Choose TWO correct answers.),"A. local7
B. mail
C. advanced
D. postmaster
E. remote",https://www.examtopics.com/discussions/linux-foundation/view/142908-exam-lfcs-topic-1-question-178-discussion/
171,What is NOT contained in the locale setting of the operating system?,"A. currency symbol
B. language
C. timezone
D. thousands separator",https://www.examtopics.com/discussions/linux-foundation/view/142907-exam-lfcs-topic-1-question-171-discussion/
158,"In case neither cron.allow nor cron.deny exist in /etc/, which of the following is true?","A. Without additional configuration, no users may have user specific crontabs.
B. Without additional configuration, all users may have user specific crontabs.
C. The cron daemon will refuse to start and report missing files in the system's logfile.
D. When a user creates a user specific crontab the system administrator must approve it explicitly.",https://www.examtopics.com/discussions/linux-foundation/view/142905-exam-lfcs-topic-1-question-158-discussion/
152,SIMULATION - Which file specifies the user accounts that can NOT submit jobs via at or batch? (Provide the full path and filename),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/142904-exam-lfcs-topic-1-question-152-discussion/
132,How can the existing environment variable FOOBAR be suppressed for the execution of the script./myscript only?,"A. unset -v FOOBAR;./myscript
B. set -a FOOBAR="""";./myscript
C. env -u FOOBAR./myscript
D. env -i FOOBAR./myscript",https://www.examtopics.com/discussions/linux-foundation/view/142903-exam-lfcs-topic-1-question-132-discussion/
130,"Which of the following files, when existing, affect the behavior of the Bash shell? (Choose TWO correct answers.)","A. ~/.bashconf
B. ~/.bashrc
C. ~/.bashdefaults
D. ~/.bash_etc
E. ~/.bash_profile",https://www.examtopics.com/discussions/linux-foundation/view/142902-exam-lfcs-topic-1-question-130-discussion/
129,Which of the following commands puts the output of the command date into the shell variable mydate?,"A. mydate=""$(date)""
B. mydate=""exec date""
C. mydate=""$((date))""
D. mydate=""date""
E. mydate=""${date}""",https://www.examtopics.com/discussions/linux-foundation/view/142901-exam-lfcs-topic-1-question-129-discussion/
121,What output will the following command sequence produce? echo '1 2 3 4 5 6' | while read a b c; do echo result: $c $b $a; done,"A. result: 3 4 5 6 2 1
B. result: 1 2 3 4 5 6
C. result: 6 5 4
D. result: 6 5 4 3 2 1
E. result: 3 2 1",https://www.examtopics.com/discussions/linux-foundation/view/45558-exam-lfcs-topic-1-question-121-discussion/
119,What do the permissions -rwSr-xr-x mean for a binary file when it is executed as a command?,"A. The command is SetUID and it will be executed with the effective rights of the owner.
B. The command will be executed with the effective rights of the group instead of the owner.
C. The execute flag is not set for the owner. Therefore the SetUID flag is ignored.
D. The command will be executed with the effective rights of the owner and group.",https://www.examtopics.com/discussions/linux-foundation/view/106449-exam-lfcs-topic-1-question-119-discussion/
118,Which of the following commands shows the definition of a given shell command?,"A. where
B. stat
C. type
D. case",https://www.examtopics.com/discussions/linux-foundation/view/142899-exam-lfcs-topic-1-question-118-discussion/
116,Which of the following commands set the sticky bit for the directory /tmp? (Choose TWO correct answers.),"A. chmod +s /tmp
B. chmod +t /tmp
C. chmod 1775 /tmp
D. chmod 4775 /tmp
E. chmod 2775 /tmp",https://www.examtopics.com/discussions/linux-foundation/view/125837-exam-lfcs-topic-1-question-116-discussion/
108,Which of the following commands will change the quota for a specific user?,"A. edquota
B. repquota
C. quota -e
D. quota",https://www.examtopics.com/discussions/linux-foundation/view/142898-exam-lfcs-topic-1-question-108-discussion/
96,What does the command mount -a do?,"A. It ensures that all file systems listed with the option noauto in /etc/fstab are mounted.
B. It shows all mounted file systems that have been automatically mounted.
C. It opens an editor with root privileges and loads /etc/fstab for editing.
D. It ensures that all file systems listed with the option auto in /etc/fstab are mounted.
E. It ensures that all file systems listed in /etc/fstab are mounted regardless of their options.",https://www.examtopics.com/discussions/linux-foundation/view/57590-exam-lfcs-topic-1-question-96-discussion/
91,"After successfully creating a hard link called bar to the ordinary file foo, foo is deleted from the filesystem. Which of the following describes the resulting situation?","A. foo and bar would both be removed.
B. foo would be removed while bar would remain accessible.
C. foo would be removed. bar would still exist but would be unusable.
D. Both foo and bar would remain accessible.
E. The user is prompted whether bar should be removed, too.",https://www.examtopics.com/discussions/linux-foundation/view/142897-exam-lfcs-topic-1-question-91-discussion/
89,Which of the following commands can be used to determine how long the system has been running? (Choose TWO correct answers.),"A. uptime
B. up
C. top
D. uname -u
E. time –up",https://www.examtopics.com/discussions/linux-foundation/view/142896-exam-lfcs-topic-1-question-89-discussion/
81,What happens after issuing the command vi without any additional parameters?,"A. vi starts and loads the last file used and moves the cursor to the position where vi was when it last exited.
B. vi starts and requires the user to explicitly either create a new or load an existing file.
C. vi exits with an error message as it cannot be invoked without a file name to operate on.
D. vi starts in command mode and opens a new empty file.
E. vi starts and opens a new file which is filled with the content of the vi buffer if the buffer contains text.",https://www.examtopics.com/discussions/linux-foundation/view/142895-exam-lfcs-topic-1-question-81-discussion/
79,Which of the following commands prints a list of usernames (first column) and their primary group (fourth column) from the /etc/passwd file?,"A. fmt -f 1,4 /etc/passwd
B. split -c 1,4 /etc/passwd
C. cut -d : -f 1,4 /etc/passwd
D. paste -f 1,4 /etc/passwd",https://www.examtopics.com/discussions/linux-foundation/view/142894-exam-lfcs-topic-1-question-79-discussion/
78,Which of the following commands will print the last 10 lines of a text file to the standard output?,"A. cat -n 10 filename
B. dump -n 10 filename
C. head -n 10 filename
D. tail -n 10 filename",https://www.examtopics.com/discussions/linux-foundation/view/142893-exam-lfcs-topic-1-question-78-discussion/
75,"When starting a program with the nice command without any additional parameters, which nice level is set for the resulting process?","A. -10
B. 0
C. 10
D. 20",https://www.examtopics.com/discussions/linux-foundation/view/68327-exam-lfcs-topic-1-question-75-discussion/
74,Which of the following sequences in the vi editor saves the opened document and exits the editor? (Choose TWO correct answers.),"A. esc ZZ
B. ctrl :w!
C. esc zz
D. esc :wq!
E. ctrl XX",https://www.examtopics.com/discussions/linux-foundation/view/142892-exam-lfcs-topic-1-question-74-discussion/
72,Which of the following shell redirections will write standard output and standard error output to a file named filename?,"A. 2>&1 >filename
B. >filename 2>&1
C. 1>&2>filename
D. >>filename
E. 1&2>filename",https://www.examtopics.com/discussions/linux-foundation/view/112390-exam-lfcs-topic-1-question-72-discussion/
70,Regarding the command: nice -5 /usr/bin/prog Which of the following statements is correct?,"A. /usr/bin/prog is executed with a nice level of -5.
B. /usr/bin/prog is executed with a nice level of 5.
C. /usr/bin/prog is executed with a priority of -5.
D. /usr/bin/prog is executed with a priority of 5.",https://www.examtopics.com/discussions/linux-foundation/view/39242-exam-lfcs-topic-1-question-70-discussion/
64,SIMULATION - Which Bash environment variable defines in which file the user history is stored when exiting a Bash process? (Specify ONLY the variable name.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/142891-exam-lfcs-topic-1-question-64-discussion/
72,Which of the following is a responsibility of the governance board of an open source project?,"A. Decide about the marketing strategy of the project.
B. Review the pull requests in the main branch.
C. Outline the project's “terms of engagement”.
D. Define the license to be used in the project.",https://www.examtopics.com/discussions/linux-foundation/view/141758-exam-kcna-topic-1-question-72-discussion/
41,What are the characteristics for building every cloud-native application?,"A. Resiliency, Operability, Observability, Availability
B. Resiliency, Containerd, Observability, Agility
C. Kubernetes, Operability, Observability, Availability
D. Resiliency, Agility, Operability, Observability",https://www.examtopics.com/discussions/linux-foundation/view/131468-exam-kcna-topic-1-question-41-discussion/
51,How are ReplicaSets and Deployments related?,"A. Deployments manage ReplicaSets and provide declarative updates to Pods.
B. ReplicaSets manage stateful applications, Deployments manage stateless applications.
C. Deployments are runtime instances of ReplicaSets.
D. ReplicaSets are subsets of Jobs and CronJobs which use imperative Deployments.",https://www.examtopics.com/discussions/linux-foundation/view/117929-exam-kcna-topic-1-question-51-discussion/
44,"What component enables end users, different parts of the Kubernetes cluster, and external components to communicate with one another?","A. kubectl
B. AWS Management Console
C. Kubernetes API
D. Google Cloud SDK",https://www.examtopics.com/discussions/linux-foundation/view/140799-exam-kcna-topic-1-question-44-discussion/
43,Kubernetes supports multiple virtual clusters backed by the same physical cluster. These virtual clusters are called:,"A. namespaces
B. containers
C. hypervisors
D. cgroups",https://www.examtopics.com/discussions/linux-foundation/view/132540-exam-kcna-topic-1-question-43-discussion/
40,"Scenario: You have a Kubernetes cluster hosted in a public cloud provider. When trying to create a Service of type LoadBalancer, the external-ip is stuck in the ""Pending"" state. Which Kubernetes component is failing in this scenario?","A. Cloud Controller Manager
B. Load Balancer Manager
C. Cloud Architecture Manager
D. Cloud Load Balancer Manager",https://www.examtopics.com/discussions/linux-foundation/view/130945-exam-kcna-topic-1-question-40-discussion/
39,What is the main role of the Kubernetes DNS within a cluster?,"A. Acts as a DNS server for virtual machines that are running outside the cluster.
B. Provides a DNS as a Service, allowing users to create zones and registries for domains that they own.
C. Allows Pods running in dual stack to convert IPv6 calls into IPv4 calls.
D. Provides consistent DNS Names for Pods and Services for workloads that need to communicate with each other.",https://www.examtopics.com/discussions/linux-foundation/view/136913-exam-kcna-topic-1-question-39-discussion/
36,What is a probe within Kubernetes?,"A. A monitoring mechanism of the Kubernetes API.
B. A pre-operational scope issued by the kubectl agent.
C. A diagnostic performed periodically by the kubelet on a container.
D. A logging mechanism of the Kubernetes API.",https://www.examtopics.com/discussions/linux-foundation/view/136912-exam-kcna-topic-1-question-36-discussion/
6,"Let's assume that an organization needs to process large amounts of data in bursts, on a cloud-based Kubernetes cluster. For instance: each Monday morning, they need to run a batch of 1000 compute jobs of 1 hour each, and these jobs must be completed by Monday night. What's going to be the most cost-effective method?","A. Run a group of nodes with the exact required size to complete the batch on time, and use a combination of taints, tolerations, and nodeSelectors to reserve these nodes to the batch jobs.
B. Leverage the Kubernetes Cluster Autoscaler to automatically start and stop nodes as they're needed.
C. Commit to a specific level of spending to get discounted prices (with e.g. “reserved instances” or similar mechanisms).
D. Use PriorityСlasses so that the weekly batch job gets priority over other workloads running on the cluster, and can be completed on time.",https://www.examtopics.com/discussions/linux-foundation/view/119233-exam-kcna-topic-1-question-6-discussion/
65,Which Kubernetes resource uses immutable: true boolean field?,"A. Deployment
B. Pod
C. ConfigMap
D. ReplicaSet",https://www.examtopics.com/discussions/linux-foundation/view/127939-exam-kcna-topic-1-question-65-discussion/
82,Why is Cloud-Native Architecture important?,"A. Cloud Native Architecture revolves around containers, microservices and pipelines.
B. Cloud Native Architecture removes constraints to rapid innovation.
C. Cloud Native Architecture is modern for application deployment and pipelines.
D. Cloud Native Architecture is a bleeding edge technology and service.",https://www.examtopics.com/discussions/linux-foundation/view/139560-exam-kcna-topic-1-question-82-discussion/
63,Which of these commands is used to retrieve the documentation and field definitions for a Kubernetes resource?,"A. kubectl explain
B. kubectl api-resources
C. kubectl get --help
D. kubectl show",https://www.examtopics.com/discussions/linux-foundation/view/139400-exam-kcna-topic-1-question-63-discussion/
47,Which of the following systems is NOT compatible with the CRI runtime interface standard?,"A. CRI-0
B. dockershim
C. systemd
D. containerd",https://www.examtopics.com/discussions/linux-foundation/view/133402-exam-kcna-topic-1-question-47-discussion/
224,SIMULATION - What argument to the -type option of find will match files that are symbolic links? (Specify only the argument and no other options or words.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/137538-exam-lfcs-topic-1-question-224-discussion/
122,"When the command echo $ outputs 1, which of the following statements is true?","A. It is the process ID of the echo command.
B. It is the process ID of the current shell.
C. It is the exit value of the command executed immediately before echo.
D. It is the exit value of the echo command.",https://www.examtopics.com/discussions/linux-foundation/view/17529-exam-lfcs-topic-1-question-122-discussion/
20,Which is the correct kubectl command to display logs in real time?,"A. kubectl logs -p test-container-1
B. kubectl logs -c test-container-1
C. kubectl logs -l test-container-1
D. kubectl logs -f test-container-1",https://www.examtopics.com/discussions/linux-foundation/view/119241-exam-kcna-topic-1-question-20-discussion/
32,"Which storage operator in Kubernetes can help the system to self-scale, self-heal, etc?","A. Rook
B. Kubernetes
C. Helm
D. Container Storage Interface (CSI)",https://www.examtopics.com/discussions/linux-foundation/view/137317-exam-kcna-topic-1-question-32-discussion/
18,Which of the following workload require a headless service while deploying into the namespace?,"A. StatefulSet
B. CronJob
C. Deployment
D. DaemonSet",https://www.examtopics.com/discussions/linux-foundation/view/119240-exam-kcna-topic-1-question-18-discussion/
14,Which of the following statements is correct concerning Open Policy Agent (OPA)?,"A. The policies must be written in Python language.
B. Kubernetes can use it to validate requests and apply policies.
C. Policies can only be tested when published.
D. It cannot be used outside Kubernetes.",https://www.examtopics.com/discussions/linux-foundation/view/119237-exam-kcna-topic-1-question-14-discussion/
13,Kubernetes ___ allows you to automatically manage the number of nodes in your cluster to meet demand.,"A. Node Autoscaler
B. Cluster Autoscaler
C. Horizontal Pod Autoscaler
D. Vertical Pod Autoscaler",https://www.examtopics.com/discussions/linux-foundation/view/119236-exam-kcna-topic-1-question-13-discussion/
10,What function does kube-proxy provide to a cluster?,"A. Implementing the Ingress resource type for application traffic.
B. Forwarding data to the correct endpoints for Services.
C. Managing data egress from the cluster nodes to the network.
D. Managing access to the Kubernetes API.",https://www.examtopics.com/discussions/linux-foundation/view/118203-exam-kcna-topic-1-question-10-discussion/
9,What default level of protection is applied to the data in Secrets in the Kubernetes API?,"A. The values use AES Symmetric Encryption
B. The values are stored in plain text
C. The values are encoded with SHA256 hashes
D. The values are base64 encoded",https://www.examtopics.com/discussions/linux-foundation/view/117703-exam-kcna-topic-1-question-9-discussion/
8,CI/CD stands for:,"A. Continuous Information / Continuous Development
B. Continuous Integration / Continuous Development
C. Cloud Integration / Cloud Development
D. Continuous Integration / Continuous Deployment",https://www.examtopics.com/discussions/linux-foundation/view/122258-exam-kcna-topic-1-question-8-discussion/
40,"In Bash, inserting 1>&2 after a command redirects","A. standard error to standard input.
B. standard input to standard error.
C. standard output to standard error.
D. standard error to standard output.
E. standard output to standard input.",https://www.examtopics.com/discussions/linux-foundation/view/93614-exam-lfcs-topic-1-question-40-discussion/
38,What feature must a CNI support to control specific traffic flows for workloads running in Kubernetes?,"A. Border Gateway Protocol
B. IP Address Management
C. Pod Security Policy
D. Network Policies",https://www.examtopics.com/discussions/linux-foundation/view/135366-exam-kcna-topic-1-question-38-discussion/
34,Which of the following would fall under the responsibilities of an SRE?,"A. Developing a new application feature.
B. Creating a monitoring baseline for an application.
C. Submitting a budget for running an application in a cloud.
D. Writing policy on how to submit a code change.",https://www.examtopics.com/discussions/linux-foundation/view/136911-exam-kcna-topic-1-question-34-discussion/
33,What fields must exist in any Kubernetes object (e.g. YAML) file?,"A. apiVersion, kind, metadata
B. kind, namespace, data
C. apiVersion, metadata, namespace
D. kind, metadata, data",https://www.examtopics.com/discussions/linux-foundation/view/136909-exam-kcna-topic-1-question-33-discussion/
30,What best describes cloud native service discovery?,"A. It's a mechanism for applications and microservices to locate each other on a network.
B. It's a procedure for discovering a MAC address, associated with a given IP address.
C. It's used for automatically assigning IP addresses to devices connected to the network.
D. It's a protocol that turns human-readable domain names into IP addresses on the Internet.",https://www.examtopics.com/discussions/linux-foundation/view/136908-exam-kcna-topic-1-question-30-discussion/
29,Which statement about Ingress is correct?,"A. Ingress provides a simple way to track network endpoints within a cluster.
B. Ingress is a Service type like NodePort and ClusterIP.
C. Ingress is a construct that allows you to specify how a Pod is allowed to communicate.
D. Ingress exposes routes from outside the cluster to services in the cluster.",https://www.examtopics.com/discussions/linux-foundation/view/128780-exam-kcna-topic-1-question-29-discussion/
28,What is the common standard for Service Meshes?,"A. Service Mesh Specification (SMS)
B. Service Mesh Technology (SMT)
C. Service Mesh Interface (SMI)
D. Service Mesh Function (SMF)",https://www.examtopics.com/discussions/linux-foundation/view/136907-exam-kcna-topic-1-question-28-discussion/
27,Which group of container runtimes provides additional sandboxed isolation and elevated security?,"A. rune, cgroups
B. docker, containerd
C. runsc, kata
D. crun, cri-o",https://www.examtopics.com/discussions/linux-foundation/view/135364-exam-kcna-topic-1-question-27-discussion/
25,The Kubernetes project work is carried primarily by SIGs. What does SIG stand for?,"A. Special Interest Group
B. Software Installation Guide
C. Support and Information Group
D. Strategy Implementation Group",https://www.examtopics.com/discussions/linux-foundation/view/119246-exam-kcna-topic-1-question-25-discussion/
24,We can extend the Kubernetes API with Kubernetes API Aggregation Layer and CRDs. What is CRD?,"A. Custom Resource Definition
B. Custom Restricted Definition
C. Customized RUST Definition
D. Custom RUST Definition",https://www.examtopics.com/discussions/linux-foundation/view/119245-exam-kcna-topic-1-question-24-discussion/
23,Which Kubernetes resource workload ensures that all (or some) nodes run a copy of a Pod?,"A. ReplicaSet
B. StatefulSet
C. DaemonSet
D. Deployment",https://www.examtopics.com/discussions/linux-foundation/view/119244-exam-kcna-topic-1-question-23-discussion/
22,What is the core functionality of GitOps tools like Argo CD and Flux?,"A. They track production changes made by a human in a Git repository and generate a human-readable audit trail.
B. They replace human operations with an agent that tracks Git commands.
C. They automatically create pull requests when dependencies are outdated.
D. They continuously compare the desired state in Git with the actual production state and notify or act upon differences.",https://www.examtopics.com/discussions/linux-foundation/view/120919-exam-kcna-topic-1-question-22-discussion/
21,How to load and generate data required before the Pod startup?,"A. Use an init container with shared file storage.
B. Use a PVC volume.
C. Use a sidecar container with shared volume.
D. Use another pod with a PVC.",https://www.examtopics.com/discussions/linux-foundation/view/119242-exam-kcna-topic-1-question-21-discussion/
19,What is Helm?,"A. An open source dashboard for Kubernetes.
B. A package manager for Kubernetes applications.
C. A custom scheduler for Kubernetes.
D. An end to end testing project for Kubernetes applications.",https://www.examtopics.com/discussions/linux-foundation/view/119239-exam-kcna-topic-1-question-19-discussion/
4,What is the purpose of the kubelet component within a Kubernetes cluster?,"A. A dashboard for Kubernetes Clusters that allows management and troubleshooting of applications.
B. A network proxy that runs on each node in your cluster, implementing part of the Kubernetes Service concept.
C. A component that watches for newly created Pods with no assigned node, and selects a node for them to run on.
D. An agent that runs on each node in the cluster. It makes sure that containers are running in a Pod.",https://www.examtopics.com/discussions/linux-foundation/view/122256-exam-kcna-topic-1-question-4-discussion/
31,What components are common in a service mesh?,"A. tracing and log storage
B. circuit breaking and Pod scheduling
C. data plane and runtime plane
D. service proxy and control plane",https://www.examtopics.com/discussions/linux-foundation/view/128626-exam-kcna-topic-1-question-31-discussion/
